City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Turukhansk,RU,11/28/21 1:01,65.8167,87.9833,2.98,95,100,12.3
118,Kapaa,US,11/28/21 0:59,22.0752,-159.319,76.15,70,1,10.6
119,Litovko,RU,11/28/21 1:01,49.2361,135.1742,12.58,90,92,3.89
120,Hendek,TR,11/28/21 1:01,40.7994,30.7481,61.48,65,100,7.47
121,Emerald,AU,11/28/21 1:01,-23.5333,148.1667,88.56,46,10,11.61
122,Bilibino,RU,11/28/21 1:01,68.0546,166.4372,-24.03,97,62,4.21
123,Bonavista,CA,11/28/21 1:01,48.6499,-53.1147,46.26,96,100,13.11
124,Ternate,ID,11/28/21 1:01,0.8,127.4,83.43,76,41,2.53
125,Siwana,IN,11/28/21 1:01,25.6333,72.4167,66.54,34,1,4.09
126,Ilulissat,GL,11/28/21 1:01,69.2167,-51.1,23.02,63,100,13.8
127,Talcahuano,CL,11/28/21 1:01,-36.7167,-73.1167,54.05,75,0,14.83
128,Atuona,PF,11/28/21 1:01,-9.8,-139.0333,78.53,72,99,19.39
129,Talnakh,RU,11/28/21 1:01,69.4865,88.3972,-0.98,97,100,7.85
130,Urambo,TZ,11/28/21 1:01,-5.0667,32.05,64.35,96,43,0.81
131,Catamarca,AR,11/28/21 1:00,-28.4696,-65.7852,73.99,73,8,1.03
132,Atambua,ID,11/28/21 1:01,-9.1061,124.8925,84.51,62,94,1.03
133,Surgut,RU,11/28/21 0:59,61.25,73.4167,30.38,100,75,17.9
134,Yerbogachen,RU,11/28/21 1:01,61.2767,108.0108,3.29,95,100,7.45
135,Ribeira Grande,PT,11/28/21 1:01,38.5167,-28.7,61.83,64,95,8.37
136,Bairiki,KI,11/28/21 1:02,1.3292,172.9752,81.64,76,97,19.08
137,Qaanaaq,GL,11/28/21 1:02,77.484,-69.3632,-0.54,98,98,1.9
138,Vicuna,CL,11/28/21 1:02,-30.0319,-70.7081,67.03,56,0,1.16
139,Ancud,CL,11/28/21 1:02,-41.8697,-73.8203,49.14,73,12,9.4
140,Sarankhola,BD,11/28/21 1:02,22.3082,89.7897,60.78,78,26,4.29
141,Touros,BR,11/28/21 1:02,-5.1989,-35.4608,81.03,71,82,13.15
142,Fort Nelson,CA,11/28/21 1:02,58.8053,-122.7002,20.16,96,100,2.84
143,Nikolskoye,RU,11/28/21 1:02,59.7035,30.7861,28.29,89,100,11.86
144,Haapiti,PF,11/28/21 1:02,-17.5667,-149.8667,83.93,73,16,15.66
145,Westport,US,11/28/21 0:59,41.1415,-73.3579,35.56,58,19,12.77
146,Sao Filipe,CV,11/28/21 1:02,14.8961,-24.4956,77.16,73,9,12.77
